Student_ID,First_Name,Last_Name,Date_of_Birth,Gender,Program,Enrollment_Year,Status
6970078,Gabrielle,Myers,2006-04-25,Female,Master of IT,2024,Alumni
3511796,Rebecca,Bailey,2004-09-04,Non-Binary,Master of IT,2020,Withdrawn
9678745,Carrie,Lara,1994-02-16,Male,MBA,2023,Alumni
6415292,Dan,Armstrong,1999-03-14,Male,Bachelor of Science,2021,Withdrawn
6060793,Adrian,Carrillo,2003-05-26,Male,Bachelor of Arts,2022,Alumni
1014575,Sarah,Marks,2005-05-08,Non-Binary,MBA,2019,Alumni
2398828,Patricia,Wilkerson,1994-08-26,Non-Binary,MBA,2022,Active
4253935,Kathleen,Brown,2004-08-21,Male,Bachelor of Arts,2017,Withdrawn
7730449,Ernest,Mccormick,1996-04-21,Female,Bachelor of Science,2015,Alumni
1738476,Thomas,Lee,2006-08-22,Female,Bachelor of Arts,2022,Alumni
5584236,Jacob,Mitchell,1997-08-08,Non-Binary,Bachelor of Arts,2022,Withdrawn
5567352,Richard,Singh,2003-08-30,Non-Binary,MBA,2017,Active
1717811,Sarah,Santos,2002-09-17,Female,Bachelor of Arts,2015,Active
6039468,Margaret,Luna,2006-06-07,Non-Binary,Bachelor of Science,2024,Withdrawn
7389344,Robert,Morales,1999-06-28,Female,Bachelor of Science,2023,Alumni
7089454,Patrick,Rowe,1995-01-21,Male,Bachelor of Arts,2020,Withdrawn
3168400,Tyler,Stone,2003-12-20,Male,Master of IT,2019,Withdrawn
7702300,Glen,Bridges,2002-09-17,Female,Master of IT,2023,Active
6547219,Jason,Atkins,1998-11-28,Male,Bachelor of Arts,2017,Alumni
9345657,Robin,Johnson,2006-06-08,Female,MBA,2017,Withdrawn
4544804,Justin,Hays,2006-09-23,Female,Master of IT,2015,Active
9247846,Aaron,Watson,1998-05-11,Male,Bachelor of Arts,2018,Active
5512786,Cathy,Sanford,1996-05-14,Female,Bachelor of Arts,2015,Active
3449652,Jason,Wilson,1994-11-23,Non-Binary,MBA,2016,Alumni
6595552,Randy,James,1997-06-18,Male,Master of IT,2020,Withdrawn
2965561,Dylan,Mcconnell,1998-12-23,Female,MBA,2023,Active
8988840,Daniel,Grant,1998-07-17,Non-Binary,Bachelor of Arts,2021,Active
5347760,Daniel,Daniels,1999-06-17,Male,MBA,2021,Active
6992932,Steven,Reilly,1999-09-30,Non-Binary,Bachelor of Science,2020,Alumni
4581712,Rachel,Williams,2000-12-11,Female,Bachelor of Arts,2018,Withdrawn
3299440,Karen,Moran,2001-07-08,Male,MBA,2019,Withdrawn
3845972,Mario,Tran,2001-09-28,Non-Binary,Master of IT,2020,Active
9620139,Tommy,Brown,2004-03-28,Female,Bachelor of Science,2015,Alumni
7421842,Melissa,Gonzalez,1995-07-09,Male,Bachelor of Arts,2021,Active
5521486,Sarah,Wong,2004-09-03,Non-Binary,Master of IT,2020,Active
2760499,David,Mooney,1994-12-27,Female,Bachelor of Arts,2021,Active
9919482,Kelly,Williams,1994-03-12,Male,Master of IT,2019,Withdrawn
2523763,James,Clark,2002-05-23,Non-Binary,Master of IT,2019,Withdrawn
3237967,Lisa,Wallace,2000-08-18,Non-Binary,Bachelor of Arts,2015,Active
8010940,Benjamin,Alexander,2005-08-05,Female,Bachelor of Science,2021,Alumni
3953543,Christopher,David,2006-12-22,Non-Binary,Bachelor of Science,2020,Alumni
2436442,Wanda,Alvarez,1994-11-10,Non-Binary,Bachelor of Arts,2021,Alumni
3810801,Heather,Murray,2006-03-18,Non-Binary,MBA,2016,Withdrawn
7384639,Heather,Cooper,2006-04-07,Female,Bachelor of Arts,2015,Alumni
7867912,Linda,Castro,2004-10-11,Female,Bachelor of Science,2019,Withdrawn
4675359,Beth,Moreno,1998-07-10,Female,Master of IT,2023,Alumni
9086437,Robert,Patterson,1994-02-15,Female,Bachelor of Arts,2023,Withdrawn
8354511,Danny,Soto,2000-08-02,Male,Master of IT,2022,Withdrawn
9813169,Erin,Cortez,2005-04-27,Female,Bachelor of Arts,2017,Alumni
2886274,Kaitlyn,Harris,2001-03-02,Non-Binary,Master of IT,2024,Withdrawn
1727542,Raymond,Cummings,2004-08-26,Male,Bachelor of Science,2023,Alumni
9139866,Lauren,Weber,2005-10-16,Non-Binary,Bachelor of Science,2016,Active
4520155,Andrea,Nelson,2005-07-14,Non-Binary,Bachelor of Arts,2017,Withdrawn
3510316,Stephen,Knight,2004-01-23,Non-Binary,Bachelor of Arts,2019,Active
6664728,Rhonda,Swanson,1996-07-04,Female,Master of IT,2016,Alumni
1034086,John,Simmons,1997-11-21,Female,MBA,2018,Withdrawn
6357101,Richard,Fox,1995-12-23,Female,Bachelor of Arts,2019,Alumni
1874046,Robin,May,1995-05-18,Female,Master of IT,2019,Active
1826754,Thomas,Clark,2000-12-03,Female,Bachelor of Arts,2024,Withdrawn
6964159,Brandi,Brown,2005-09-06,Non-Binary,Bachelor of Arts,2017,Alumni
9984897,Gary,Delgado,2005-05-09,Non-Binary,MBA,2023,Alumni
6445213,Jeffrey,Mcbride,2004-10-22,Male,Master of IT,2017,Active
2798817,Susan,Johns,1997-09-12,Female,MBA,2018,Alumni
9966994,Jason,Bradford,2001-12-08,Non-Binary,Master of IT,2018,Active
5666079,Bianca,Kelly,1999-07-19,Male,Bachelor of Science,2017,Active
7310667,David,Webster,1999-05-17,Female,Bachelor of Arts,2017,Withdrawn
3758145,Brittany,Haas,1996-07-13,Non-Binary,Master of IT,2021,Active
1597867,Ashley,Fisher,1998-07-21,Non-Binary,Bachelor of Science,2023,Alumni
7778942,Joseph,Thornton,2007-01-19,Non-Binary,MBA,2021,Alumni
1230372,Antonio,Miller,2004-07-23,Male,Bachelor of Arts,2021,Withdrawn
1752819,Benjamin,Martin,1995-04-01,Female,Bachelor of Science,2015,Withdrawn
6739128,Todd,Thompson,1997-05-01,Non-Binary,MBA,2021,Withdrawn
9504430,Rebecca,Reynolds,1996-04-08,Male,Bachelor of Arts,2020,Withdrawn
5632861,Collin,Jensen,1998-10-26,Female,Bachelor of Science,2017,Active
3900696,Wesley,Williams,2006-05-17,Male,Bachelor of Arts,2017,Withdrawn
7394639,Kevin,Brown,2004-05-09,Female,Bachelor of Arts,2019,Withdrawn
1417235,Aaron,Lopez,2001-02-08,Non-Binary,Bachelor of Arts,2023,Withdrawn
5403583,Laura,Walters,1998-11-21,Female,Bachelor of Science,2019,Active
6028556,Joshua,Camacho,2003-10-19,Female,MBA,2018,Active
1753031,Michael,Johnson,1994-09-06,Female,Bachelor of Arts,2015,Active
3785139,Susan,Cline,1996-07-23,Male,Master of IT,2018,Alumni
2332736,Brenda,Kelly,1999-12-02,Female,Bachelor of Arts,2019,Alumni
5778722,David,Frazier,2004-03-11,Male,Bachelor of Science,2022,Active
4403347,Michelle,Greene,1997-02-10,Non-Binary,Bachelor of Arts,2016,Active
1802196,Antonio,Silva,2002-03-18,Non-Binary,Bachelor of Arts,2023,Active
2846273,Stephanie,Taylor,1996-04-23,Non-Binary,Bachelor of Arts,2018,Withdrawn
1270389,George,Henry,2005-05-29,Non-Binary,Bachelor of Arts,2022,Alumni
8519722,Barbara,Diaz,2000-09-26,Male,Bachelor of Science,2023,Alumni
1705988,Eric,Thomas,1997-09-11,Non-Binary,MBA,2024,Alumni
2393113,Amy,Carroll,1997-03-01,Non-Binary,Bachelor of Arts,2017,Alumni
2059710,Sean,Moore,2005-06-28,Non-Binary,Bachelor of Arts,2019,Alumni
7957624,Diane,Navarro,1997-04-28,Female,MBA,2022,Active
7270417,Keith,Fields,2006-03-23,Non-Binary,Bachelor of Arts,2018,Alumni
5592076,Rebecca,Jefferson,2001-04-08,Male,Bachelor of Science,2023,Withdrawn
1425082,Tara,Chavez,1999-09-01,Non-Binary,Bachelor of Arts,2017,Alumni
4758397,John,White,2006-02-16,Male,MBA,2020,Active
4846901,Raymond,King,2005-06-18,Male,Master of IT,2021,Withdrawn
5636843,Melissa,Ramsey,1995-03-09,Male,Master of IT,2017,Withdrawn
4232576,Douglas,Sanders,2006-10-13,Non-Binary,Bachelor of Arts,2018,Alumni
4996834,Dominique,Mccoy,1994-12-15,Non-Binary,Bachelor of Arts,2022,Active
8971163,Justin,Crawford,2006-09-05,Non-Binary,MBA,2015,Active
9603340,Latoya,Hill,2005-12-28,Male,Bachelor of Arts,2017,Active
2329861,Derek,Schneider,1994-06-07,Female,Master of IT,2018,Active
6473089,Brian,Graham,1995-12-14,Male,Bachelor of Arts,2021,Alumni
9384549,Shannon,Evans,2001-12-04,Male,Bachelor of Arts,2022,Withdrawn
8020183,Albert,Rivera,1996-09-08,Male,MBA,2019,Alumni
6342385,Jeremy,Rice,2007-01-02,Female,MBA,2018,Active
4354661,Virginia,Garcia,1996-11-23,Female,Master of IT,2017,Active
7677717,Aaron,Duncan,2004-10-27,Female,Bachelor of Arts,2018,Alumni
5944365,Johnny,Galvan,1995-08-02,Female,Master of IT,2020,Active
3603142,Eric,Ramirez,2000-06-16,Non-Binary,MBA,2019,Active
9085443,John,Russell,2003-12-01,Male,MBA,2019,Withdrawn
3289756,Sherry,Smith,2005-10-05,Non-Binary,Master of IT,2023,Active
5262608,Christopher,Gray,2005-03-24,Male,Bachelor of Arts,2021,Withdrawn
5860290,Suzanne,Wilcox,2001-02-17,Non-Binary,Bachelor of Arts,2016,Withdrawn
1850667,Brandon,Harris,1999-05-04,Non-Binary,MBA,2016,Withdrawn
6513191,Deborah,Williams,2002-01-20,Female,MBA,2017,Active
4301483,Richard,Velasquez,2002-06-09,Male,Bachelor of Arts,2018,Withdrawn
4313549,Renee,Brown,1994-07-25,Female,Bachelor of Science,2023,Withdrawn
1002641,David,Ball,2005-05-11,Female,Master of IT,2017,Withdrawn
2239436,Megan,Silva,1994-07-29,Male,Bachelor of Science,2018,Alumni
8790393,Sandra,Johnson,1998-12-30,Female,Bachelor of Arts,2017,Alumni
9269882,Aaron,Smith,2004-10-31,Female,MBA,2015,Withdrawn
9234376,Jeremy,Gibson,1998-08-12,Male,Bachelor of Arts,2019,Alumni
5034537,Katrina,Williams,2006-06-12,Female,Bachelor of Arts,2015,Withdrawn
5072279,David,Hicks,1994-04-09,Non-Binary,MBA,2023,Withdrawn
1018422,Maria,Bauer,1994-03-04,Female,Bachelor of Science,2017,Withdrawn
1574794,Brandon,Evans,2001-11-30,Male,Master of IT,2024,Withdrawn
1529650,Stacey,Rhodes,1996-12-08,Female,Bachelor of Arts,2022,Active
1754271,Adam,Burns,1997-09-12,Non-Binary,Bachelor of Arts,2023,Active
4372071,Allen,Mendoza,1995-04-28,Male,Master of IT,2023,Alumni
9346852,Veronica,Baird,1997-04-19,Male,Master of IT,2022,Alumni
4347334,Trevor,Brown,2001-01-26,Female,Bachelor of Science,2015,Active
2644481,Kelsey,Carrillo,1995-11-07,Non-Binary,Master of IT,2017,Active
1910624,Lindsey,Ramirez,2000-07-26,Male,MBA,2023,Withdrawn
7875673,Kevin,Browning,2000-10-18,Female,Bachelor of Science,2021,Alumni
1639014,Robert,Ball,2001-08-04,Non-Binary,Master of IT,2015,Alumni
9445410,David,Navarro,2005-05-09,Male,Bachelor of Science,2023,Withdrawn
4480636,Michael,Webb,1998-03-18,Female,Bachelor of Science,2019,Alumni
6938352,Ashley,Thomas,2002-01-11,Female,Bachelor of Arts,2024,Alumni
5489619,Alexandra,Hughes,1994-03-05,Male,Bachelor of Science,2015,Withdrawn
9065745,Eduardo,Caldwell,2005-10-19,Non-Binary,Bachelor of Science,2024,Alumni
2157259,Kiara,King,2004-05-03,Non-Binary,Bachelor of Science,2021,Active
2677021,Jeremy,Olson,1995-02-10,Male,Master of IT,2023,Withdrawn
2892388,Steven,Cochran,2006-08-16,Male,Master of IT,2022,Active
7703226,Jermaine,Benjamin,2005-07-20,Non-Binary,Master of IT,2020,Withdrawn
3879109,Kevin,Lee,1998-08-22,Non-Binary,MBA,2019,Active
2831885,Linda,Allen,2002-09-01,Female,Bachelor of Arts,2016,Active
9805982,Traci,Weiss,1996-09-06,Non-Binary,MBA,2017,Alumni
9778537,Dawn,Bond,1996-05-28,Male,MBA,2019,Alumni
7389842,Anthony,Kramer,1994-06-15,Non-Binary,Bachelor of Science,2020,Alumni
5571908,Lori,Davis,1997-11-12,Male,Master of IT,2019,Withdrawn
9936301,Daniel,Francis,2006-10-02,Non-Binary,Bachelor of Science,2021,Withdrawn
2395091,David,Mitchell,2002-06-06,Female,MBA,2017,Alumni
4227912,Jennifer,Carlson,1996-01-23,Male,Master of IT,2015,Alumni
4258808,Heather,Neal,2006-01-24,Male,Master of IT,2020,Alumni
8156081,Wendy,Gutierrez,2001-11-20,Non-Binary,MBA,2024,Active
1044992,Joseph,Thompson,2000-06-06,Male,Bachelor of Science,2023,Withdrawn
